Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,1,5,647707.9,0.04293116331100464,608522468727.9402,0.40180141562397254,"1755938.0, 2125566.0, 1282983.0, 818192.0, 1692664.0, 3294123.0, 880602.0, 2441507.0, 608739.0, 1415044.0, 3222268.0, 1933155.0, 2639141.0, 1436773.0, 787722.0, 2282125.0, 1189794.0, 1655913.0, 765756.0, 2321383.0"
importance_estimate_per_node_method,1,100,112348.1,0.42138376235961916,16020990759.159998,0.06969441876911434,"1456042.0, 1480338.0, 1854362.0, 1640295.0, 1494059.0, 1393386.0, 1583282.0, 1458819.0, 1729603.0, 1745819.0, 1769856.0, 1601980.0, 1450867.0, 1524316.0, 1575710.0, 1633416.0, 1726828.0, 1499231.0, 1465891.0, 1682664.0"
importance_estimate_per_node_method,1,500,55389.7,1.859234356880188,3563999284.6100006,0.03436064292405134,"1591694.0, 1738667.0, 1543077.0, 1553597.0, 1687135.0, 1648853.0, 1639327.0, 1710687.0, 1569125.0, 1550460.0, 1559722.0, 1553371.0, 1685225.0, 1704844.0, 1665899.0, 1676847.0, 1638529.0, 1595014.0, 1638127.0, 1637754.0"
importance_estimate_per_node_method,1,1000,35766.5,3.615927827358246,1761218701.6100001,0.02218751744716224,"1630574.0, 1598378.0, 1554494.0, 1570046.0, 1627324.0, 1587539.0, 1551651.0, 1566192.0, 1676761.0, 1657652.0, 1666349.0, 1663800.0, 1607310.0, 1635868.0, 1536900.0, 1653070.0, 1612598.0, 1625321.0, 1619011.0, 1556468.0"
importance_estimate_per_node_method,1,2000,24198.05,6.8792043089866635,730932936.6275,0.01501110414947798,"1581186.0, 1611572.0, 1634222.0, 1579582.0, 1605305.0, 1594348.0, 1614589.0, 1633205.0, 1659979.0, 1576346.0, 1651053.0, 1629820.0, 1634661.0, 1651584.0, 1594060.0, 1647358.0, 1639516.0, 1579525.0, 1601689.0, 1588413.0"
importance_estimate_per_node_method,1,3000,14002.25,9.857013821601868,255760386.1875,0.008686205420561905,"1626868.0, 1620746.0, 1603738.0, 1594923.0, 1636338.0, 1588310.0, 1615437.0, 1583662.0, 1589004.0, 1635235.0, 1612525.0, 1625960.0, 1594648.0, 1599425.0, 1615304.0, 1622859.0, 1590138.0, 1609563.0, 1592589.0, 1614773.0"
importance_estimate_per_node_method,1,4000,20539.05,12.710711359977722,681709243.6275,0.012741267113727583,"1625218.0, 1592718.0, 1580570.0, 1617702.0, 1641492.0, 1633689.0, 1598899.0, 1604224.0, 1659660.0, 1612170.0, 1583292.0, 1541836.0, 1607171.0, 1634100.0, 1613866.0, 1586885.0, 1639864.0, 1593411.0, 1624118.0, 1621928.0"
importance_estimate_per_node_method,1.5,5,351655.35,0.02858757972717285,151641538258.84747,0.2181471268788655,"1885277.0, 1507974.0, 2026835.0, 1503612.0, 2124520.0, 1796574.0, 2025940.0, 1347959.0, 2085315.0, 2235773.0, 714760.0, 1996877.0, 1967215.0, 2035910.0, 1967077.0, 1380530.0, 1131302.0, 1701092.0, 1225159.0, 1668058.0"
importance_estimate_per_node_method,1.5,100,67929.1,0.9252067089080811,6562102197.26,0.042139378787972775,"1577554.0, 1784789.0, 1636289.0, 1524289.0, 1624060.0, 1702598.0, 1493670.0, 1643795.0, 1685715.0, 1666483.0, 1624629.0, 1593150.0, 1723702.0, 1525111.0, 1520914.0, 1612756.0, 1562946.0, 1677517.0, 1509913.0, 1492184.0"
importance_estimate_per_node_method,1.5,500,23880.25,5.403677654266358,989080630.2275,0.01481395897047785,"1606507.0, 1557515.0, 1580130.0, 1615193.0, 1632151.0, 1590507.0, 1615010.0, 1560587.0, 1601088.0, 1606752.0, 1662061.0, 1651856.0, 1610079.0, 1528493.0, 1603151.0, 1630932.0, 1635483.0, 1598982.0, 1633520.0, 1602850.0"
